Level,LamaBekerja,PendidikanTerakhir,Sanksi,Kinerja,Loyalitas,HAV,Konfirmasi Atasan,Bonus
17,314,8.0,0,3.86,2.85,1,1,0
19,318,8.0,0,3.92,3.62,1,1,1
18,256,8.0,0,3.92,3.31,1,1,0
18,224,8.0,0,3.82,3.92,1,1,0
16,221,8.0,0,3.81,3.69,2,1,0
17,208,8.0,0,3.16,4.0,2,1,0
17,199,8.0,0,3.2,3.23,2,1,0
16,196,8.0,0,3.9,3.31,1,1,0
14,196,8.0,0,4.79,3.77,1,1,0
12,190,8.0,0,4.55,3.92,1,1,0
17,188,8.0,0,3.82,0.0,3,1,0
12,165,8.0,1,4.55,3.31,1,1,1
16,163,8.0,0,3.79,3.77,1,1,0
13,161,8.0,0,4.54,3.62,1,1,0
15,160,8.0,0,4.54,3.62,1,1,0
12,158,6.0,0,4.51,3.85,1,1,0
12,156,-1.0,0,4.66,3.69,1,1,0
14,155,8.0,0,4.68,4.0,3,1,0
15,153,8.0,0,3.83,3.54,1,1,0
13,153,8.0,0,3.77,3.62,3,1,0
14,145,8.0,0,4.68,3.46,1,1,0
15,143,8.0,0,3.54,2.92,8,1,0
12,141,6.0,0,4.51,3.92,1,1,0
10,140,8.0,0,4.78,3.77,1,1,0
16,133,8.0,0,3.91,3.46,1,1,0
11,132,-1.0,0,4.7,3.38,1,1,0
15,129,8.0,0,3.85,2.92,3,1,0
14,127,8.0,0,3.53,2.69,4,1,0
16,123,8.0,0,3.88,3.0,1,1,0
13,117,8.0,0,4.56,3.85,1,1,0
16,117,8.0,0,3.82,3.62,1,1,0
12,113,6.0,0,4.58,3.54,1,1,0
11,112,8.0,0,4.68,3.62,1,1,0
13,110,8.0,0,4.59,3.62,1,1,0
15,108,8.0,0,2.98,3.23,4,1,0
11,105,6.0,0,4.6,3.69,1,1,0
13,105,8.0,0,4.56,3.54,1,1,0
16,105,8.0,0,3.98,3.77,1,1,0
12,99,8.0,0,4.66,3.77,1,1,0
14,98,8.0,0,4.76,3.62,1,1,0
13,98,8.0,0,4.54,4.0,1,1,0
12,94,6.0,0,3.88,3.69,1,1,0
10,94,6.0,0,4.84,3.23,1,1,0
11,93,8.0,0,4.65,3.38,1,1,0
11,93,8.0,0,4.65,3.77,1,1,0
16,84,8.0,0,3.91,3.38,1,1,0
11,91,9.0,0,4.51,3.54,1,1,0
12,84,6.0,0,4.85,4.0,1,1,0
14,87,8.0,0,3.75,3.54,1,1,0
10,85,8.0,0,4.7,3.77,1,1,0
14,79,8.0,0,3.86,3.54,1,1,0
13,77,8.0,0,3.78,3.23,1,1,0
11,76,-1.0,0,4.54,3.77,1,1,0
11,85,8.0,0,4.7,3.62,1,1,0
10,79,8.0,0,4.68,3.62,1,1,0
10,75,8.0,0,4.72,4.0,1,1,0
16,68,8.0,0,3.8,4.0,1,1,0
15,73,8.0,0,3.98,3.54,1,1,0
11,71,6.0,1,4.51,3.31,1,1,1
10,70,-1.0,0,4.68,4.0,1,1,0
12,64,8.0,0,3.8,3.38,1,1,0
14,71,8.0,0,4.0,3.46,1,1,0
10,69,8.0,0,4.74,4.0,1,1,0
11,64,8.0,0,4.64,4.0,1,1,0
11,66,8.0,0,4.52,4.0,1,1,0
15,59,8.0,0,3.93,3.15,1,1,0
13,56,8.0,0,3.77,3.85,3,1,0
14,54,8.0,0,3.41,3.0,2,1,0
11,60,8.0,0,4.57,4.0,1,1,0
12,60,6.0,0,4.81,3.31,1,1,0
10,58,8.0,0,4.8,4.0,1,1,0
15,50,8.0,0,3.8,3.23,1,1,0
12,55,8.0,0,4.84,3.46,1,1,0
11,44,-1.0,1,4.7,4.0,1,1,1
10,49,8.0,0,4.7,3.31,1,1,0
10,36,8.0,0,4.64,3.69,1,1,0
11,53,-1.0,0,4.54,4.0,1,1,0
