Level,LamaBekerja,PendidikanTerakhir,Sanksi,Kinerja,Loyalitas,HAV,Konfirmasi Atasan, Bonus 
17,314,S1 ,Tidak Aktif,3.86,2.85,1,1,Layak
19,318,S1 ,Tidak Aktif,3.92,3.62,1,1,Tidak Layak
18,256,S1 ,Tidak Aktif,3.92,3.31,1,1,Layak
18,224,S1 ,Tidak Aktif,3.82,3.92,1,1,Layak
16,221,S1 ,Tidak Aktif,3.81,3.69,2,1,Layak
17,208,S1 ,Tidak Aktif,3.16,4,2,1,Layak
17,199,S1 ,Tidak Aktif,3.2,3.23,2,1,Layak
16,196,S1 ,Tidak Aktif,3.9,3.31,1,1,Layak
14,196,S1 ,Tidak Aktif,4.79,3.77,1,1,Layak
12,190,S1 ,Tidak Aktif,4.55,3.92,1,1,Layak
17,188,S1 ,Tidak Aktif,3.82,0,3,1,Layak
12,165,S1 , Aktif,4.55,3.31,1,1,Tidak Layak
16,163,S1 ,Tidak Aktif,3.79,3.77,1,1,Layak
13,161,S1 ,Tidak Aktif,4.54,3.62,1,1,Layak
15,160,S1 ,Tidak Aktif,4.54,3.62,1,1,Layak
12,158,D3,Tidak Aktif,4.51,3.85,1,1,Layak
12,156,SMA,Tidak Aktif,4.66,3.69,1,1,Layak
14,155,S1 ,Tidak Aktif,4.68,4,3,1,Layak
15,153,S1 ,Tidak Aktif,3.83,3.54,1,1,Layak
13,153,S1 ,Tidak Aktif,3.77,3.62,3,1,Layak
14,145,S1 ,Tidak Aktif,4.68,3.46,1,1,Layak
15,143,S1 ,Tidak Aktif,3.54,2.92,8,1,Layak
12,141,D3,Tidak Aktif,4.51,3.92,1,1,Layak
10,140,S1 ,Tidak Aktif,4.78,3.77,1,1,Layak
16,133,S1 ,Tidak Aktif,3.91,3.46,1,1,Layak
11,132,SMA,Tidak Aktif,4.7,3.38,1,1,Layak
15,129,S1 ,Tidak Aktif,3.85,2.92,3,1,Layak
14,127,S1 ,Tidak Aktif,3.53,2.69,4,1,Layak
16,123,S1 ,Tidak Aktif,3.88,3,1,1,Layak
13,117,S1 ,Tidak Aktif,4.56,3.85,1,1,Layak
16,117,S1 ,Tidak Aktif,3.82,3.62,1,1,Layak
12,113,D3,Tidak Aktif,4.58,3.54,1,1,Layak
11,112,S1 ,Tidak Aktif,4.68,3.62,1,1,Layak
13,110,S1 ,Tidak Aktif,4.59,3.62,1,1,Layak
15,108,S1 ,Tidak Aktif,2.98,3.23,4,1,Layak
11,105,D3,Tidak Aktif,4.6,3.69,1,1,Layak
13,105,S1 ,Tidak Aktif,4.56,3.54,1,1,Layak
16,105,S1 ,Tidak Aktif,3.98,3.77,1,1,Layak
12,99,S1 ,Tidak Aktif,4.66,3.77,1,1,Layak
14,98,S1 ,Tidak Aktif,4.76,3.62,1,1,Layak
13,98,S1 ,Tidak Aktif,4.54,4,1,1,Layak
12,94,D3,Tidak Aktif,3.88,3.69,1,1,Layak
10,94,D3,Tidak Aktif,4.84,3.23,1,1,Layak
11,93,S1 ,Tidak Aktif,4.65,3.38,1,1,Layak
11,93,S1 ,Tidak Aktif,4.65,3.77,1,1,Layak
16,84,S1 ,Tidak Aktif,3.91,3.38,1,1,Layak
11,91,S2,Tidak Aktif,4.51,3.54,1,1,Layak
12,84,D3,Tidak Aktif,4.85,4,1,1,Layak
14,87,S1,Tidak Aktif,3.75,3.54,1,1,Layak
10,85,S1,Tidak Aktif,4.7,3.77,1,1,Layak
14,79,S1,Tidak Aktif,3.86,3.54,1,1,Layak
13,77,S1,Tidak Aktif,3.78,3.23,1,1,Layak
11,76,SMK,Tidak Aktif,4.54,3.77,1,1,Layak
